"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,0,0,0,0,0,0,0,0,0,0,"East Kilbride","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"East Lothian","Labour","Labour",0,99.9999999999926,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Eastbourne","Liberal.Democrat","Conservative",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Eastleigh","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,55.9744598314925,0,0,0,0,0,0,0,0,0,"Eastwood","Conservative","Labour",0,0,0,0,44.0255401685206,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Eccles","Labour","Labour",0,99.9999999999928,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Eddisbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100.000000000005,0,0,0,0,0,0,0,"Edinburgh Central","Green","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Edinburgh East and Musselburgh","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Edinburgh North and Leith","Referendum","Labour",0,0,0,0,0,0,70.541073637012,0,29.4589263629904,0,0,0,0,0,0
0,0,0,30.3529367055412,0,0,0,0,0,0,0,"Edinburgh Pentlands","Referendum","Labour",0,0,0,0,0,0,65.8210626898592,0,0,0,0,0,3.82600060460464,0,0
0,0,0,0,0,0,0,0,0,0,0,"Edinburgh South","Referendum","Labour",0,0,0,0,0,0,100.000000000008,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Edinburgh West","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Edmonton","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ellesmere Port and Neston","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Elmet","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Eltham","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
