Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Linlithgow,,1992,61082,48050,21603,8424,3446,,,14577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Littleborough and Saddleworth,,1992,65577,53519,10649,23682,19188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Broadgreen,,1992,60080,41814,18062,5405,11035,,,,1211,149,,,,,,,,,,,,,,,,,,,,5952,,,,,,,,,,,,,,,,,,,,,
,Liverpool Garston,,1992,57539,40624,23212,10933,5398,,,,894,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Mossley Hill,,1992,60409,41395,17203,4269,19809,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Riverside,,1992,49595,27068,20550,3113,2498,,,,,169,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Walton,,1992,70118,47255,34214,5915,5672,,393,,963,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool West Derby,,1992,56724,39616,27014,6589,4838,,,,1021,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livingston,,1992,61093,45589,20245,8824,3911,,,12140,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Llanelli,,1992,65057,50616,27802,8532,6404,7878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Londonderry East,,1992,75587,52735,0,1589,,,,,,,,30370,,3613,11843,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loughborough,,1992,75451,59248,19181,30064,8953,,,,,233,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ludlow,,1992,68937,55753,11709,28719,14567,,,,,,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luton North,,1992,76940,62955,20683,33777,7570,,,,,292,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luton South,,1992,73016,57762,25101,25900,6020,,,,,191,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macclesfield,,1992,76549,62995,13680,36447,12600,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maidstone,,1992,72862,58332,10517,31611,15325,,,,,172,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
