Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Maidstone and the Weald,,1997,72466,53608,,,,,23657,,,480,,,14054,,11986,,,,,,115,,,,,1998,,,,,,979,,,339,,,
,Makerfield,,1997,67358,45014,,,,,6942,,,,,,33119,,3743,,,,,,,,,,,1210,,,,,,,,,,,,
,Maldon and Chelmsford East,,1997,66184,50387,,,,,24524,,,685,,,14485,,9758,,,,,,,,,,,,,,,,,,,,935,,,
,Manchester Blackley,,1997,62227,35756,,,,,5454,,,,,,25042,,3937,,,,,,,,,,,1323,,,,,,,,,,,,
,Manchester Central,,1997,63815,33537,,,,,3964,,,,,97,23803,,4121,,,,,,,,,,,742,,,,,,810,,,,,,
,Manchester Gorton,,1997,64349,36311,,,,,4249,,,683,,,23704,,6362,,,,,,,,,,,812,,,,,,501,,,,,,
,Manchester Withington,,1997,66116,44027,,,,,8522,,,,,,27103,,6000,,,,,,152,614,,,181,1079,,,,,376,,,,,,,
,Mansfield,,1997,67057,47426,,,,,10038,,,,,,30556,,5244,,,,,,,,,,,1588,,,,,,,,,,,,
,Medway,,1997,61736,44742,,,,,16504,,,,,,21858,,4555,,,,,,,,,,,1420,,,,,,,,,405,,,
,Meirionnydd Nant Conwy,,1997,32345,24575,,,,,3922,,,,,,5660,,1719,,,,,,,,12465,,,809,,,,,,,,,,,,
,Meriden,,1997,76287,54718,,,,,22997,,,,,,22415,,7098,,,,,,,,,,,2208,,,,,,,,,,,,
,Merthyr Tydfil and Rhymney,,1997,56507,39141,,,,,2508,,,,,691,30012,,2926,,,,,,,,2344,,,660,,,,,,,,,,,,
,Middlesbrough,,1997,70931,46097,,,,,7907,,,,,,32925,,3934,,,,,,,,,,,1331,,,,,,,,,,,,
,Middlesbrough South and East Cleveland,,1997,70481,53587,,,,,18712,,,,,,29319,,4004,,,,,,,,,,,1552,,,,,,,,,,,,
,Midlothian,,1997,47552,35249,,,,,3842,,,,,,18861,,3235,,,,,,,,,,,320,8991,,,,,,,,,,,
,Milton Keynes North East,,1997,70395,51236,,,,,19961,,,576,,,20201,,8907,,,,,,99,,,,,1492,,,,,,,,,,,,
,Milton Keynes South West,,1997,71070,50758,,,,,17006,,,,,,27298,,6065,,,,,,389,,,,,,,,,,,,,,,,,
,Mitcham and Morden,,1997,65385,47946,,521,,,14243,,,415,,144,27984,,3632,,,,,,,,,,,810,,,,,,,,,117,,,
,Mole Valley,,1997,69140,54524,,,,,26178,,,,,1276,8057,,15957,,,,,,197,,,,,2424,,,,,,,,,435,,,
,Monmouth,,1997,60703,49025,,,,,19226,,,,,,23404,,4689,,,,,,,,516,,,1190,,,,,,,,,,,,
,Montgomeryshire,,1997,42618,31925,,,,,8344,,,338,,,6109,,14647,,,,,,,,1608,,,879,,,,,,,,,,,,
,Moray,,1997,58302,39766,,,,,10963,,,,,,7886,,3548,,,,,,,,,,,840,16529,,,,,,,,,,,
,Morecambe and Lunesdale,,1997,68013,49249,,,,,18096,,,,,,24061,,5614,,,,,,165,,,,,1313,,,,,,,,,,,,
,Morley and Rothwell,,1997,68385,45897,,381,,,12086,,,,,,26836,,5087,,,,,,,148,,,,1359,,,,,,,,,,,,
,Motherwell and Wishaw,,1997,52252,36619,,,,,4024,,,,,,21020,,2331,,,,,,,,,,,218,8229,,,,,797,,,,,,
,Neath,,1997,55525,41243,,,,,3583,,,,,,30324,,2597,420,,,,,,,3344,,,975,,,,,,,,,,,,
,New Forest East,,1997,65717,49052,,,,,21053,,,,,,12161,,15838,,,,,,,,,,,,,,,,,,,,,,,
,New Forest West,,1997,66522,49750,,,,,25149,,,,,,7092,,13817,,,,,,,,,,,2150,,,,,,,,,1542,,,
,Newark,,1997,69763,51971,,,,,20480,,,,,,23496,,5960,,,,,,,,,,,2035,,,,,,,,,,,,
,Newbury,,1997,73680,56476,,,,,21370,,,644,,,3107,,29887,,,,,,,,,,,992,,,,,,174,,,302,,,
,Newcastle-under-Lyme,,1997,65357,49129,,,,,10537,,,,,,27743,1399,6858,,,,,,,,,,,1510,,,,,,1082,,,,,,
,Newcastle upon Tyne Central,,1997,66686,46088,,,,,10792,,,,,,27272,,6911,,,,,,,,,,,1113,,,,,,,,,,,,
,Newcastle upon Tyne East and Wallsend,,1997,69781,41589,,,,163,5796,,,,,,29607,,4415,,,,,,,,,,,966,,,,,,642,,,,,,
,Newcastle upon Tyne North,,1997,63272,45229,,,,,8793,,,,,,28125,,6578,,,,,,,,,,,1733,,,,,,,,,,,,
,Newport East,,1997,50997,37258,,,,,7958,,,,,,21481,,3880,,,,,,,,721,,,1267,,,,,,1951,,,,,,
,Newport West,,1997,53914,40202,,,,,9794,,,,,,24331,,3907,,,,,,,,648,,,1199,,,,,,,,,323,,,
,Newry and Armagh,,1997,70652,53275,1015,,,,,,,,,,0,,,,,,,,123,,,,,,,,11218,22904,,,,18015,,,,
,Norfolk Mid,,1997,75311,57457,,,,,22739,,,1254,,,21403,,8617,,,,,,215,,,,,3229,,,,,,,,,,,,
,Norfolk North,,1997,77113,58813,,,,,21456,,,,,,14736,,20163,,,,,,,,,,,2458,,,,,,,,,,,,
,Norfolk North West,,1997,77083,57597,,,,,23911,,,,,,25250,,5513,,,,,,,,,,,2923,,,,,,,,,,,,
,Norfolk South,,1997,79239,62097,,,,,24935,,,484,,,16188,,17557,,,,,,,,,,,2533,,,,,,,,,400,,,
,Norfolk South West,,1997,80236,58796,,,,,24694,,,,,,22230,,8178,,,,,,,,,,,3694,,,,,,,,,,,,
,Normanton,,1997,62980,43004,,,,,10153,,,,,,26046,,5347,,,,,,,,,,,1458,,,,,,,,,,,,
,Bedfordshire North East,,1997,64743,50388,,,,,22311,,,,,1842,16428,,7179,,,,,,138,,,,,2490,,,,,,,,,,,,
,Cornwall North,,1997,80076,58495,,,,,17253,,,,,,5523,186,31100,,645,,,,152,,,,,3636,,,,,,,,,,,,
,Devon North,,1997,70350,54814,,,,,21643,,,,,,5347,,27824,,,,,,,,,,,,,,,,,,,,,,,
,Dorest North,,1997,68923,52587,,,,,23294,,,,,,5380,,20548,,,,,,,,,,,2564,,,,,,,,,801,,,
,Northampton North,,1997,73664,51698,,,,,17247,,,,,,27247,,6579,,,,,,161,,,,,,,,,,,,,,464,,,
,Northampton South,,1997,79384,57105,,,,,23470,,,,,,24214,,6316,,,,,,541,,,,,1405,,,,,,,,,1159,,,
,Northavon,,1997,78943,62530,,,,,24363,,,,,,9767,,26500,,,,,,,,,,,1900,,,,,,,,,,,,
,Norwich North,,1997,72521,55057,,,,,17876,,,,,,27346,,6951,512,,,,,100,,,,,1777,,,,,,495,,,,,,
,Norwich South,,1997,70009,50801,,,,,12028,,,736,,,26267,,9457,765,,,,,84,,,,,1464,,,,,,,,,,,,
,Nottingham East,,1997,65581,39744,,,,,9336,,,,,,24755,,4008,,,,,,,,,,,1645,,,,,,,,,,,,
,Nottingham North,,1997,65698,41401,,,,,8402,,,,,,27203,,3301,,,,,,,,,,,1858,,,,,637,,,,,,,
,Nottingham South,,1997,72418,48520,,,,,13461,,,,,,26825,,6265,,,,446,,,,,,,1523,,,,,,,,,,,,
