Press Association Reference,Constituency Name,Region,Election Year,Electorate,Valid Votes,Labour,UK Independence Party,Conservative,Plaid Cymru,Liberal Democrat,Independent,Green,Socialist Labour Party,Trade Unionist and Socialist Coalition,Scottish National Party,National Front,Monster Raving Loony Party,Justice for Men & Boys,National Health Action Party,English Democrats,Yorkshire First,Vapers In Power,Patriotic Socialist Party,Democratic Unionist Party,Alliance,Sinn Fein,Social Democratic and Labour Party,Workers Party,Ulster Unionist Party,People Before Profit Alliance,Left Unity - Trade Unionists and Socialists,All People's Party,The Republican Socialist Party,Communities United Party,Cannabis is Safer than Alcohol Party,The Whig Party,The 30-50 Coalition,Red Flag - Anti-Corruption,"Christian Party, Proclaiming Christ's Lordship",Respect,Communist Party of Britain,Liberty GB,Social Democratic Party,The Northern Party,Independence from Europe,The Pilgrim Party,British National Party,Bournemouth Independent Alliance,Patria,British Democratic Party,Pirate Party,The Socialist Party of Great Britain,Independents for Bristol,Left Unity,Speaker,World Peace Through Song,Workers Revolutionary Party,Mebyon Kernow,Rebooting Democracy,Alter Change - Politics. Only Different.,Christian Peoples Alliance Party,The Above and Beyond Party,Liberal,The Peace Party,Class War,Christian Movement for Great Britain,Mainstream,The UK Progressive Democracy Party,Putting Croydon First!,British Independents,Humanity Party,Apni Party,Europeans Party,National Liberal Party,The North East Party,Traditional Unionist Voice,"Beer, Baccy and Scratchings",Scottish Socialist Party,Young People's Party,Linconshire Independents ,Socialist Equality Party,Socialist,Guildford Greenbelt Group,Animal Welfare Party,Communist League Election Campaign,Campaign,U(niversal) Party,Save Hartlepool Hospital,Hoi Polloi,Something New,Digital Democracy,Alliance for Green Socialism,New Independent Centralists,Lewisham People Before Profit,Democratic Reform Party,The Pluralist Party,People First - Gwerin Gyntaf,The Sustainable Population Party,Keep It Real Party,Consensus,Apolitical Democrat,Restore the Family For Children's Sake,Party for a United Thanet,The Party for Poole People Ltd.,Justice and Anti-Corruption Party,Independent Save Withybush Save Lives,The New Society of Worth,The Roman Party. Ave,Independent Political Alliance Party,Rochdale First Party,Islam Zinda Baad Platform,Residents for Uttlesford,We Are The Reality Party,Children of the Atom,The Democratic Party,Movement for Active Democracy,Manston Airport Independent Party,Al-Zebabist Nation of Ooog,Common Sense Party,Southport Party,Ubuntu Party,Population Party UK,Free Public Transport Party,The Principles of Politics Party,Magna Carta Party,The Eccentric Party of Great Britain,The Realists' Party,The Birthday Party,War Veteran's Pro-Traditional Family Party,Wessex Regionalist Party,Reduce VAT in Sport,Give Me Back Elmo,Land Party,Magna Carta Conservation Party Great Britain,The Evolution Party,Independent Community and Health Concern
302,Hemel Hempstead,,2015,74616,49633,11825,7249,26245,,2402,252,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hemsworth,,2015,72714,42406,21772,8565,9694,,1357,,,,,,,,,,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Hendon,,2015,75285,49630,20604,2595,24328,,1088,,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Henley,,2015,77946,55236,6917,6007,32292,,6205,,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Hereford and South Herefordshire,,2015,71485,47257,6042,7954,24844,,5002,,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Hertford and Stortford,,2015,80610,56277,10084,7534,31593,,4385,,2681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Hertsmere,,2015,73767,50091,11235,6383,29696,,2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hexham,,2015,59708,43345,10803,4302,22834,,2961,,2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Heywood and Middleton,,2015,79989,48538,20926,15627,9268,,1607,,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,High Peak,,2015,73336,50789,17942,5811,22836,,2389,,1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Hitchin and Harpenden,,2015,80333,55375,11433,4917,31488,,4484,,3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Holborn and St Pancras,,2015,86764,54917,29062,2740,12014,,3555,,7013,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Hornchurch and Upminster,,2015,79331,55236,11103,13977,27051,,1501,,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Hornsey and Wood Green,,2015,79247,57785,29417,1271,5347,,18359,,3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Horsham,,2015,79085,56925,6499,7969,32627,,6647,303,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Houghton and Sunderland South,,2015,68324,38489,21218,8280,7105,,791,,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Hove,,2015,73505,52214,22082,3265,20846,,1861,322,3569,,144,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Huddersfield,,2015,65269,40478,18186,5948,10841,,2365,,2798,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Huntingdon,,2015,82593,55927,10249,9473,29652,,4375,,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Hyndburn,,2015,68341,42887,18076,9154,13676,,859,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Ilford North,,2015,75294,48932,21463,4355,20874,,1130,87,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Ilford South,,2015,91987,51912,33232,2705,13455,,1014,,1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Inverclyde,,2015,59350,44607,13522,715,4446,,1106,,,,,24585,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Inverness, Nairn, Badenoch and Strathspey",,2015,77628,57613,4311,1236,3410,,18029,,1367,,,28838,,,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Ipswich,,2015,74499,48694,18061,5703,21794,,1400,,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Isle of Wight,,2015,108804,70300,8984,14888,28591,,5235,3198,9404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Islington North,,2015,73326,49234,29659,1971,8465,,3984,,5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Islington South and Finsbury,,2015,68127,44270,22547,3375,9839,,4829,,3371,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Islwyn,,2015,55697,35401,17336,6932,5366,3794,950,,659,,151,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Jarrow,,2015,64002,38564,21464,7583,6584,,1238,,1310,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Keighley,,2015,68865,49123,18713,5662,21766,,1321,,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Kenilworth and Southam,,2015,63957,48791,7472,5467,28474,,4913,,1956,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Kensington,,2015,61133,34828,10838,1557,18199,,1962,,1765,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,115,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Kettering,,2015,70155,47218,11877,7600,24467,,1490,,1633,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Kilmarnock and Loudoun,,2015,75250,53903,16362,,6752,,789,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Kingston and Surbiton,,2015,81238,59253,8574,4321,23249,,20415,,2322,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Kingston upon Hull East,,2015,65710,35144,18180,7861,5593,,2294,,806,,,,86,,,,,270,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Kingston upon Hull North,,2015,64148,35336,18661,5762,5306,,3175,,2066,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Kingston upon Hull West and Hessle,,2015,59100,31803,15646,6313,5561,,3169,,943,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Kingswood,,2015,68193,48125,14246,7133,23252,,1827,,1370,,84,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Kirkcaldy and Cowdenbeath,,2015,75941,52892,17654,1237,5223,,1150,,,,,27628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Knowsley,,2015,79108,50728,39628,4973,3367,,1490,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Lagan Valley,,2015,71152,39795,0,2200,654,,,756,,,,,,,,,,,,,19055,5544,1144,2500,,6055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Lanark and Hamilton East,,2015,79962,55258,16876,1431,8772,,1203,,,,,26976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Lancaster and Fleetwood,,2015,61922,41738,17643,4060,16378,,1390,174,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Leeds Central,,2015,81799,45048,24758,7082,7791,,1529,,3558,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Leeds East,,2015,64754,38196,20530,7256,7997,,1296,,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Leeds North East,,2015,69097,48291,23137,3706,15887,,2569,,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Leeds North West,,2015,61974,43357,13041,2997,8083,,15948,,3042,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Leeds West,,2015,64950,38423,18456,7104,7729,,1495,,3217,,205,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Leicester East,,2015,75430,48068,29386,4290,11034,,1233,117,1468,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Leicester South,,2015,73518,45942,27473,3832,9628,,2127,,2533,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Leicester West,,2015,63204,34522,16051,5950,8848,,1507,,1878,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Leigh,,2015,75905,45123,24312,8903,10216,,1150,,,,,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Lewes,,2015,69481,50540,5000,5427,19206,,18123,,2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Lewisham East,,2015,66913,42923,23907,3886,9574,,2455,,2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Lewisham West and Penge,,2015,72290,48125,24347,3764,11633,,3709,160,4077,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,"Lewisham, Deptford",,2015,73428,47426,28572,2013,7056,,2497,30,5932,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Leyton and Wanstead,,2015,64580,40703,23856,2341,8939,,2304,289,2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Lichfield,,2015,74234,51467,10200,8082,28389,,2700,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Lincoln,,2015,74121,46852,18533,5721,19976,,1992,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Linlithgow and East Falkirk,,2015,86955,61597,19121,1682,7384,,1252,,,,,32055,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,"Liverpool, Riverside",,2015,70829,44263,29835,2510,4245,,1719,,5372,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,"Liverpool, Walton",,2015,61908,38403,31222,3445,1802,,899,56,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,"Liverpool, Wavertree",,2015,61549,40974,28401,3375,4098,,2454,144,2140,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,"Liverpool, West Derby",,2015,63651,41031,30842,3475,2710,,959,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Livingston,,2015,82373,57547,15893,1757,5929,,1232,,,,,32736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Llanelli,,2015,59314,38574,15948,6269,5534,8853,751,,689,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Loughborough,,2015,75217,52020,16579,5704,25762,,2130,,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Louth and Horncastle,,2015,74870,50336,9077,10778,25755,,2255,,1549,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Ludlow,,2015,66374,48063,5902,7164,26093,,6469,,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Luton North,,2015,67329,42571,22243,5318,12739,,1299,,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Luton South,,2015,67741,42216,18660,5129,12949,,3183,900,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Macclesfield,,2015,71712,49598,11252,6037,26063,,3842,,2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Maidenhead,,2015,74187,53855,6394,4539,35453,,5337,162,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Maidstone and The Weald,,2015,73181,50010,5268,7930,22745,,12036,52,1396,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Makerfield,,2015,74320,44788,23208,10053,8752,,1639,,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Maldon,,2015,69066,48045,5690,7042,29112,,2157,2424,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
